论文stem,原始字符数,去空白字符数,实体数量,关系数量,实体千字密度(按去空白),关系千字密度(按去空白),关系/实体比
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,18173,13110,44,25,3.3562,1.9069,0.5682
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,15055,10731,31,25,2.8888,2.3297,0.8065
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,1334,964,50,44,51.8672,45.6432,0.8800
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,13356,9654,44,33,4.5577,3.4183,0.7500
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,16049,10982,54,35,4.9171,3.1870,0.6481
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,30275,21464,51,31,2.3761,1.4443,0.6078
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,25342,15953,42,27,2.6327,1.6925,0.6429
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,14997,11295,36,30,3.1873,2.6560,0.8333
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,30722,18514,59,45,3.1868,2.4306,0.7627
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,16863,13135,31,23,2.3601,1.7510,0.7419
基于LSSVM与WNN的燃气轮机状态趋势预测_MinerU__20250913052956,11561,9559,35,27,3.6615,2.8246,0.7714
基于LSTM循环神经网络的故障时间序列预测_MinerU__20250913053007,35271,16090,43,27,2.6725,1.6781,0.6279
基于PHM的军机备件配置机制_毛德耀_MinerU__20250913052446,24838,20937,39,20,1.8627,0.9552,0.5128
基于PHM的航空装备可用度影响因素分析方法_刘瑞_MinerU__20250913052443,16282,13642,47,34,3.4452,2.4923,0.7234
基于QAR数据的飞行控制系统故障研究综述_MinerU__20250913052449,21460,17794,74,39,4.1587,2.1918,0.5270
基于SVM方法的APU故障预测方法_MinerU__20250913052546,17800,12737,45,37,3.5330,2.9049,0.8222
机载航电系统射频信道健康表征及影响评估_黄鹤_MinerU__20250913052708,14789,11984,61,37,5.0901,3.0874,0.6066
机载预测与健康管理(PHM)系统的体系结构_张亮_MinerU__20250913052915,7012,5963,62,53,10.3975,8.8881,0.8548
航天飞机考虑意外损伤时防热系统的健康管理研究_宣建林_MinerU__20250913053141,11475,9194,41,28,4.4594,3.0455,0.6829
航空发动机PHM中的数据挖掘机遇与挑战_MinerU__20250913053529,13212,11663,94,74,8.0597,6.3449,0.7872
航空发动机健康参数的卡尔曼滤波估计方法分析_杨振兴_MinerU__20250913053017,9471,7487,49,31,6.5447,4.1405,0.6327
航空发动机健康管理系统功能架构分析与研究_詹轲倚_MinerU__20250913053021,26695,20655,69,38,3.3406,1.8397,0.5507
