original,ascii
方法 -> 解决 -> 问题, ->  -> 
技术 -> 应用于 -> 应用领域, ->  -> 
技术 -> Improves -> Performance Metric, -> Improves -> Performance Metric
方法 -> 基于 -> Model, ->  -> Model
Model -> 应用于 -> 应用领域,Model ->  -> 
方法 -> Improves -> Performance Metric, -> Improves -> Performance Metric
技术领域 -> 包括 -> 技术, ->  -> 
技术 -> Decreases -> 成本, -> Decreases -> 
系统 -> 发展趋势为 -> 技术趋势, ->  -> 
方法 -> 建立 -> Model, ->  -> Model
技术 -> 应用于 -> 领域, ->  -> 
Model -> UsedFor -> 任务,Model -> UsedFor -> 
方法 -> 基于 -> 技术, ->  -> 
系统 -> Includes -> 技术领域, -> Includes -> 
技术 -> 应用于 -> 应用, ->  -> 
