语义模式 (Semantic Pattern),总频次 (Total Freq),句法实现路径 (Syntactic Realizations)
Method → 结合 → Method,4,"  - 句法路径: nsubj->rcmod->dobj->dep->conj->root->conj->conj->dobj->assmod->conj->nn->nn (频次: 1, 样例: [数模联动] → [机器学习方法])
  - 句法路径: nsubj->rcmod->dobj->dep->conj->root->conj->conj->dobj->assmod->amod->nn->nn (频次: 1, 样例: [数模联动] → [统计数据驱动方法])
  - 句法路径: nsubj->rcmod->dobj->dep->conj->root->conj->dobj->nn->conj->nsubj->amod->nn (频次: 1, 样例: [数模联动] → [随机退化建模])
  - 句法路径: dobj->root->root->dobj->nn->conj->nn (频次: 1, 样例: [故障诊断技术] → [动力学分析])"
System/Component → 具有核心功能 → Application,4,"  - 句法路径: nn->nn->top->root->root->dobj->assmod->pobj->cc (频次: 2, 样例: [健康管理系统] → [故障诊断])
  - 句法路径: nn->nn->top->root->root->ccomp->dobj->nn->nn->conj->nn (频次: 1, 样例: [健康管理系统] → [状态监测])
  - 句法路径: nn->top->nn (频次: 1, 样例: [健康管理系统] → [寿命管理])"
Method → 包含 → Method,4,"  - 句法路径: dobj (频次: 1, 样例: [健康管理技术] → [故障诊断技术])
  - 句法路径: nsubj->nn->nsubj->rcmod->dobj->rcmod->conj->nsubj (频次: 1, 样例: [系统正向设计流程] → [需求分析])
  - 句法路径: nsubj->rcmod->nn->nsubj->dobj->pccomp->root->root->plmod->lobj->rcmod->dobj->nn (频次: 1, 样例: [系统正向设计流程] → [功能分配])
  - 句法路径: nsubj->rcmod->nn->nsubj->dobj->pccomp->root->root->dobj->nn->nn (频次: 1, 样例: [系统正向设计流程] → [模块定义])"
Method → 提升 → Performance Metric,3,"  - 句法路径: assmod->dobj->root->root->pccomp->dobj->nn->amod->conj (频次: 1, 样例: [航电系统综合集成] → [大型客机安全性])
  - 句法路径: assmod->dobj->root->root->pccomp->dobj->nn->nn (频次: 1, 样例: [航电系统综合集成] → [空域运行效能])
  - 句法路径: nn->nn->pobj (频次: 1, 样例: [通导监视] → [通导监视性能])"
System/Component → 包含 → System/Component,3,"  - 句法路径: assmod->dobj->root->root->prep->pobj->vmod->dep->cc (频次: 1, 样例: [大型客机航电系统] → [飞行管理])
  - 句法路径: assmod->dobj->root->root->prep->pobj->vmod->prep->pobj->nn->nn (频次: 1, 样例: [大型客机航电系统] → [通导监视])
  - 句法路径: nn->pobj->root->root->prep->plmod->lobj->nn->nn (频次: 1, 样例: [航空发动机健康管理系统] → [航空发动机])"
Method → 解决 → Problem,3,"  - 句法路径: nsubj->rcmod->dobj->dep->conj->root->conj->dobj->nn->nn->amod->nn (频次: 1, 样例: [数模联动] → [剩余寿命预测])
  - 句法路径: nn->dobj->root->root->pobj->nn->amod->nn (频次: 1, 样例: [MagicGrid方法论] → [架构动态优化难题])
  - 句法路径: nn->dobj->root->root->pobj->nn->amod->nn->nn->conj (频次: 1, 样例: [MagicGrid方法论] → [复杂系统需求边界模糊])"
Method → 采用 → Method,3,"  - 句法路径: assm->conj->assmod->dobj->root->root->prep->pccomp->dobj->nn->conj (频次: 1, 样例: [功能分配方法] → [逻辑决断图])
  - 句法路径: assm->conj->assmod->dobj->root->root->dep->cc (频次: 1, 样例: [功能分配方法] → [层次分析法(AHP)])
  - 句法路径: nn->nn->nsubj->rcmod->nn->nsubj (频次: 1, 样例: [健康管理系统设计方法] → [系统正向设计流程])"
Method → 实现 → Finding,2,"  - 句法路径: conj->assm (频次: 1, 样例: [功能分配方法] → [功能优化配置])
  - 句法路径: dobj (频次: 1, 样例: [提出的分配方法] → [定量分配])"
Method → 应用于 → System/Component,2,"  - 句法路径: nn->dobj->root->root->pobj->nn (频次: 1, 样例: [MagicGrid方法论] → [航空发动机健康管理系统])
  - 句法路径: dobj->root->nsubj->nn (频次: 1, 样例: [故障诊断技术] → [航空发动机])"
Method → 应用于 → Application,2,"  - 句法路径: nn->dobj->root->root->pobj->nn->amod (频次: 1, 样例: [MagicGrid方法论] → [复杂装备系统设计])
  - 句法路径: nn->dobj->root->root->pobj->nn (频次: 1, 样例: [生命周期建模范式] → [系统工程实践])"
Method → 基于 → Method,2,"  - 句法路径: dobj->root->root->dobj->nn->conj->nn (频次: 1, 样例: [故障诊断技术] → [信号处理])
  - 句法路径: nn->nn->nsubj (频次: 1, 样例: [健康管理系统设计方法] → [系统工程思想])"
System/Component → 需要 → Method,1,"  - 句法路径: assmod (频次: 1, 样例: [大型客机航电系统] → [航电系统综合集成])"
Method → 是 → Research Problem,1,"  - 句法路径: assmod->dobj->root->root->dobj->assmod->assm->nn (频次: 1, 样例: [航电系统综合集成] → [关键技术])"
Model → 是 → System/Component,1,"  - 句法路径: amod->vmod->pobj->prep->root->root->dobj->assmod (频次: 1, 样例: [综合模块化航电] → [航电系统架构])"
Method → 遵循 → Method,1,"  - 句法路径: conj (频次: 1, 样例: [安全性设计] → [安全性设计流程])"
Application → 推动 → Research Problem,1,"  - 句法路径: amod->nn->dobj->pccomp->root->root->dobj->assmod (频次: 1, 样例: [国产大型客机] → [客机综合化航电系统研制])"
System/Component → 处理 → Sensor/Parameter,1,"  - 句法路径: assmod->dobj->root->root->prep->pobj->vmod->nsubj (频次: 1, 样例: [现代综合化航电系统] → [机载信息])"
