论文stem,模型,原始字符数,去空白字符数,实体数量,关系数量,实体千字密度(按去空白),关系千字密度(按去空白),关系/实体比
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,deepseek,18173,13110,31,24,2.3646,1.8307,0.7742
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,gemini,18173,13110,31,18,2.3646,1.3730,0.5806
GJB289A总线网络电气特性仿真及故障分析_郑敬杭_MinerU__20250913054015,kimi,18173,13110,27,23,2.0595,1.7544,0.8519
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,deepseek,15055,10731,25,22,2.3297,2.0501,0.8800
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,gemini,15055,10731,39,23,3.6343,2.1433,0.5897
PHM技术在航空结构疲劳寿命预测中的应用_MinerU__20250913054023,kimi,15055,10731,27,22,2.5161,2.0501,0.8148
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,deepseek,1334,964,34,27,35.2697,28.0083,0.7941
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,gemini,1334,964,31,20,32.1577,20.7469,0.6452
后人工智能背景下装备测试研讨会在成都召开_MinerU__20250913053147,kimi,1334,964,27,26,28.0083,26.9710,0.9630
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,deepseek,13356,9654,25,20,2.5896,2.0717,0.8000
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,gemini,13356,9654,27,20,2.7968,2.0717,0.7407
基于AFDX网络的综合模块化航电故障注入技术_肖皓天_MinerU__20250913052920,kimi,13356,9654,28,20,2.9004,2.0717,0.7143
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,deepseek,16049,10982,71,37,6.4651,3.3691,0.5211
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,gemini,16049,10982,38,21,3.4602,1.9122,0.5526
基于ARIMA模型的民用航空发动机低压转子振动故障分析_MinerU__20250913052923,kimi,16049,10982,24,19,2.1854,1.7301,0.7917
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,deepseek,30275,21464,32,29,1.4909,1.3511,0.9062
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,gemini,30275,21464,45,24,2.0965,1.1182,0.5333
基于Caps-BiGRU-Attention的直升机涡轮发动机健康管理方法_MinerU__20250913052931,kimi,30275,21464,27,17,1.2579,0.7920,0.6296
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,deepseek,25342,15953,57,22,3.5730,1.3791,0.3860
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,gemini,25342,15953,31,16,1.9432,1.0029,0.5161
基于Copula相似性的航空发动机RUL预测_许先鑫_MinerU__20250913052935,kimi,25342,15953,20,16,1.2537,1.0029,0.8000
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,deepseek,14997,11295,23,18,2.0363,1.5936,0.7826
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,gemini,14997,11295,26,18,2.3019,1.5936,0.6923
基于EMD和RVM-AR的航空发动机磨损故障预测模型_MinerU__20250913052941,kimi,14997,11295,20,16,1.7707,1.4166,0.8000
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,deepseek,30722,18514,71,25,3.8349,1.3503,0.3521
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,gemini,30722,18514,30,16,1.6204,0.8642,0.5333
基于EnsembleBRB-SHAP的航空发动机健康状态可解释预测方法_游雅倩_MinerU__20250913052944,kimi,30722,18514,17,13,0.9182,0.7022,0.7647
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,deepseek,16863,13135,29,19,2.2078,1.4465,0.6552
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,gemini,16863,13135,35,21,2.6646,1.5988,0.6000
基于KPCA和DBN的航空发动机排气温度基线模型_王奕首_MinerU__20250913052950,kimi,16863,13135,19,17,1.4465,1.2943,0.8947
基于LSSVM与WNN的燃气轮机状态趋势预测_MinerU__20250913052956,deepseek,11561,9559,23,18,2.4061,1.8830,0.7826
基于LSSVM与WNN的燃气轮机状态趋势预测_MinerU__20250913052956,gemini,11561,9559,28,25,2.9292,2.6153,0.8929
基于LSSVM与WNN的燃气轮机状态趋势预测_MinerU__20250913052956,kimi,11561,9559,16,13,1.6738,1.3600,0.8125
