语义模式 (Semantic Pattern),总频次 (Total Freq),句法实现路径 (Syntactic Realizations)
Method → 结合 → Method,4,"  - 句法路径: 数模(nsubj) — 联动(rcmod) — 思路(dobj) — 提出(dep) — 为(conj) — 面向(root) — 借鉴(conj) — 考虑(conj) — 优势(dobj) — 方法(assmod) — 方法(conj) — 机器(nn) — 学习(nn) (频次: 1, 样例: [数模联动] → [机器学习方法])
  - 句法路径: 数模(nsubj) — 联动(rcmod) — 思路(dobj) — 提出(dep) — 为(conj) — 面向(root) — 借鉴(conj) — 考虑(conj) — 优势(dobj) — 方法(assmod) — 统计(amod) — 数据(nn) — 驱动(nn) (频次: 1, 样例: [数模联动] → [统计数据驱动方法])
  - 句法路径: 数模(nsubj) — 联动(rcmod) — 思路(dobj) — 提出(dep) — 为(conj) — 面向(root) — 提出(conj) — 问题(dobj) — 预测(nn) — 联动(conj) — 建模(nsubj) — 随机(amod) — 退化(nn) (频次: 1, 样例: [数模联动] → [随机退化建模])
  - 句法路径: 技术(dobj) — 汇集(root) — 包括(root) — 技术(dobj) — 学习(nn) — 分析(conj) — 动力学(nn) (频次: 1, 样例: [故障诊断技术] → [动力学分析])"
System/Component → 具有核心功能 → Application,4,"  - 句法路径: 健康(nn) — 管理(nn) — 系统(top) — 是(root) — 提出(root) — 方法(dobj) — 针对(assmod) — 故障(pobj) — 和(cc) (频次: 2, 样例: [健康管理系统] → [故障预测])
  - 句法路径: 健康(nn) — 管理(nn) — 系统(top) — 是(root) — 表明(root) — 实现(ccomp) — 分配(dobj) — 功能(nn) — 分析(nn) — 监测(conj) — 状态(nn) (频次: 1, 样例: [健康管理系统] → [状态监测])
  - 句法路径: 健康(nn) — 系统(top) — 管理(nn) (频次: 1, 样例: [健康管理系统] → [寿命管理])"
Method → 包含 → Method,4,"  - 句法路径: 技术(dobj) (频次: 1, 样例: [健康管理技术] → [故障诊断技术])
  - 句法路径: 系统(nsubj) — 设计(nn) — 流程(nsubj) — 正向(rcmod) — 问题(dobj) — 清晰(rcmod) — 明确(conj) — 需求(nsubj) (频次: 1, 样例: [系统正向设计流程] → [需求分析])
  - 句法路径: 系统(nsubj) — 正向(rcmod) — 设计(nn) — 流程(nsubj) — 问题(dobj) — 解决(pccomp) — 为(root) — 在(root) — 上(plmod) — 基础(lobj) — 对比(rcmod) — 体系(dobj) — 功能(nn) (频次: 1, 样例: [系统正向设计流程] → [功能分配])
  - 句法路径: 系统(nsubj) — 正向(rcmod) — 设计(nn) — 流程(nsubj) — 问题(dobj) — 解决(pccomp) — 为(root) — 建立(root) — 方法(dobj) — 定义(nn) — 模块(nn) (频次: 1, 样例: [系统正向设计流程] → [模块定义])"
Method → 提升 → Performance Metric,3,"  - 句法路径: 系统(assmod) — 需求(dobj) — 面对(root) — 为了(root) — 提升(pccomp) — 效能(dobj) — 客机(nn) — 大型(amod) — 安全性(conj) (频次: 1, 样例: [航电系统综合集成] → [大型客机安全性])
  - 句法路径: 系统(assmod) — 需求(dobj) — 面对(root) — 为了(root) — 提升(pccomp) — 效能(dobj) — 空域(nn) — 运行(nn) (频次: 1, 样例: [航电系统综合集成] → [空域运行效能])
  - 句法路径: 监视(nn) — 通导(nn) — 性能(pobj) (频次: 1, 样例: [通导监视] → [通导监视性能])"
System/Component → 包含 → System/Component,3,"  - 句法路径: 系统(assmod) — 需求(dobj) — 面对(root) — 提出(root) — 在(prep) — 方面(pobj) — 享(vmod) — 管理(dep) — 与(cc) (频次: 1, 样例: [大型客机航电系统] → [飞行管理])
  - 句法路径: 系统(assmod) — 需求(dobj) — 面对(root) — 提出(root) — 在(prep) — 方面(pobj) — 需(vmod) — 基于(prep) — 性能(pobj) — 通导(nn) — 监视(nn) (频次: 1, 样例: [大型客机航电系统] → [通导监视])
  - 句法路径: 系统(nn) — 难题(pobj) — 针对(root) — 开展(root) — 在(prep) — 中(plmod) — 系统(lobj) — 发动机(nn) — 航空(nn) (频次: 1, 样例: [航空发动机健康管理系统] → [航空发动机])"
Method → 解决 → Problem,3,"  - 句法路径: 数模(nsubj) — 联动(rcmod) — 思路(dobj) — 提出(dep) — 为(conj) — 面向(root) — 结合(conj) — 问题(dobj) — 量化(nn) — 预测(nn) — 剩余(amod) — 寿命(nn) (频次: 1, 样例: [数模联动] → [剩余寿命预测])
  - 句法路径: MagicGrid(nn) — 方法论(dobj) — 融合(root) — 针对(root) — 难题(pobj) — 架构(nn) — 动态(amod) — 优化(nn) (频次: 1, 样例: [MagicGrid方法论] → [架构动态优化难题])
  - 句法路径: MagicGrid(nn) — 方法论(dobj) — 融合(root) — 针对(root) — 难题(pobj) — 系统(nn) — 复杂(amod) — 需求(nn) — 边界(nn) — 模糊(conj) (频次: 1, 样例: [MagicGrid方法论] → [复杂系统需求边界模糊])"
Method → 采用 → Method,3,"  - 句法路径: 的(assm) — 功能(conj) — 系统(assmod) — 作用(dobj) — 发挥(root) — 提出(root) — 基于(prep) — 采用(pccomp) — 分析法(dobj) — 逻辑(nn) — 决断图(conj) (频次: 1, 样例: [功能分配方法] → [逻辑决断图])
  - 句法路径: 的(assm) — 功能(conj) — 系统(assmod) — 作用(dobj) — 发挥(root) — 分析(root) — 比较(dep) — 和(cc) (频次: 1, 样例: [功能分配方法] → [层次分析法(AHP)])
  - 句法路径: 健康(nn) — 管理(nn) — 系统(nsubj) — 正向(rcmod) — 设计(nn) — 流程(nsubj) (频次: 1, 样例: [健康管理系统设计方法] → [系统正向设计流程])"
Method → 实现 → Finding,2,"  - 句法路径: 功能(conj) — 的(assm) (频次: 1, 样例: [功能分配方法] → [功能优化配置])
  - 句法路径: 分配(dobj) (频次: 1, 样例: [提出的分配方法] → [定量分配])"
Method → 应用于 → System/Component,2,"  - 句法路径: MagicGrid(nn) — 方法论(dobj) — 融合(root) — 针对(root) — 难题(pobj) — 系统(nn) (频次: 1, 样例: [MagicGrid方法论] → [航空发动机健康管理系统])
  - 句法路径: 技术(dobj) — 汇集(root) — 发动机(nsubj) — 航空(nn) (频次: 1, 样例: [故障诊断技术] → [航空发动机])"
Method → 应用于 → Application,2,"  - 句法路径: MagicGrid(nn) — 方法论(dobj) — 融合(root) — 针对(root) — 难题(pobj) — 系统(nn) — 复杂(amod) (频次: 1, 样例: [MagicGrid方法论] → [复杂装备系统设计])
  - 句法路径: 建模(nn) — 框架(dobj) — 提出(root) — 针对(root) — 难题(pobj) — 系统(nn) (频次: 1, 样例: [生命周期建模范式] → [系统工程实践])"
